https://lesmissnyc.com/collections/	Less Miss	"283 Mott St, New York, NY 10012"																																
https://megest1994.com/	Meg	"262 Mott St, New York, NY 10012"	"376 Atlantic Ave, Brooklyn, NY 11217"	"104 N 8th Street, Brooklyn, NY 11249"																														
https://coclico.com/	Coclico	"275 Mott St, New York, NY 10012"																																
https://meilleur-moment.com/	Meilleur Moment	"257 Elizabeth St, New York, NY 10012"																																
https://corridornyc.com/	Corridor	"245 Elizabeth St, New York, NY 10012"	"145 Wythe Ave, Brooklyn, NY 11249"	"165 Dekalb Ave, Brooklyn, NY 11217"	"322 Bleecker St, New York, NY 10014"	"141 North Larchmont Blvd, Los Angeles, CA 90004"	"535 California Ave, Los Angeles, CA 90291"	"1541 Echo Park Ave, Los Angeles, CA 90026"																										
https://www.neverfullydressed.com/	Never Fully Dressed	"243 Elizabeth St, New York, NY 10012"																																
https://natiboutique.com/	Nati Boutique	"44 Prince St, New York, NY 10012"	"317 Bleecker Street, New York, NY, 10014"	"1503 Abbot Kinney, Venice, CA, 90291"	"211 Manhattan Beach Boulevard, Manhattan Beach, CA, 90266"	"3404 Via Lido A & B, Newport Beach, CA 92663"	"130 N Larchmont Blvd, Los Angeles, CA 90004"	"3835 Cross Creek Rd Space 14, Malibu, CA 90265"	"30745 Pacific Coast Hwy #8B, Malibu, CA 90265"																									
https://descendantofthieves.com/	Descendant of Thieves	"247 Mulberry St, New York, NY 10012"	"247 Mulberry St, New York, NY 10012"																															
https://www.cleveralice.com/	Clever Alice	"4 Prince St, New York, NY 10012"																																
https://mutebyjl.co/	Mute by JL	"219 Mott St Store 1, New York, NY 10012"																																
https://tombolocompany.com/	Tombolo	"208 Mott St, New York, NY 10012"																																
https://aberizk.com/	Aberizk	"9 Spring St, New York, NY 10012"																																
https://onsclothing.com/	ONS Clothing	"201 Mulberry St, New York, NY 10012"																																
https://retrofete.com/	Retrofête	"99 Spring St, New York, NY 10012"																																
https://arisoho.com/	Ari	"471 W Broadway, New York, NY 10012"	"2317 Collins Ave, Miami Beach, FL 33139"	"327 N Beverly Dr, Beverly Hills, CA 90210"	"25 N Dean St, Englewood, NJ 07631"																													
https://www.jennikayne.com/collections	Jenni Kayne	"125 Greene St, New York, NY 10012"																																
